name,sort_num,sort_letter,contour_path,units,w,h,d,criss_cross,layer_final_geom,layer_derived_curves,layer_original_curves,layer_scaled_curve,layer_curve_bbox,layer_images,picture_path,img_w,img_h,min_x,min_z,max_x,max_z,left_margin,right_margin,top_margin,bottom_margin
69,69,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/69_silhouette_contour.svg,cm,3.2,3.4,0.5,FALSE,Item_69::Final_Geom,Item_69::Face_Curves,Item_69::Original_Curve,AutoCAD::Item_69::Scaled_Curve,AutoCAD::Item_69::Curve_Bbox,Item_69::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/69_silhouette.png,300,305,17,8,293,301,17,6,8,3
70,70,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/70_silhouette_contour.svg,cm,67,5,11,FALSE,Item_70::Final_Geom,Item_70::Face_Curves,Item_70::Original_Curve,AutoCAD::Item_70::Scaled_Curve,AutoCAD::Item_70::Curve_Bbox,Item_70::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/70_silhouette.png,581,85,18,12,569,67,18,11,12,17
71,71,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/71_silhouette_contour.svg,cm,2.7,2.7,0.1,FALSE,Item_71::Final_Geom,Item_71::Face_Curves,Item_71::Original_Curve,AutoCAD::Item_71::Scaled_Curve,AutoCAD::Item_71::Curve_Bbox,Item_71::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/71_silhouette.png,83,83,1,1,80,80,1,2,1,2
72,72,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/72_silhouette_contour.svg,cm,2.9,2.9,2.9,FALSE,Item_72::Final_Geom,Item_72::Face_Curves,Item_72::Original_Curve,AutoCAD::Item_72::Scaled_Curve,AutoCAD::Item_72::Curve_Bbox,Item_72::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/72_silhouette.png,87,88,5,1,83,85,5,3,1,2
73,73,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/73_silhouette_contour.svg,cm,2.2,2.2,0.6,FALSE,Item_73::Final_Geom,Item_73::Face_Curves,Item_73::Original_Curve,AutoCAD::Item_73::Scaled_Curve,AutoCAD::Item_73::Curve_Bbox,Item_73::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Silhouettes/Combined/73_silhouette.png,195,201,6,14,189,193,6,5,14,7
74,74,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/74_silhouette_contour.svg,cm,24.4,24.4,3.2,FALSE,Item_74::Final_Geom,Item_74::Face_Curves,Item_74::Original_Curve,AutoCAD::Item_74::Scaled_Curve,AutoCAD::Item_74::Curve_Bbox,Item_74::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/74_silhouette.png,800,781,21,16,766,758,21,33,16,22
75a,75,a,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/75a_silhouette_contour.svg,cm,33,28.1,10.2,FALSE,Item_75a::Final_Geom,Item_75a::Face_Curves,Item_75a::Original_Curve,AutoCAD::Item_75a::Scaled_Curve,AutoCAD::Item_75a::Curve_Bbox,Item_75a::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Silhouettes/Combined/75a_silhouette.png,535,447,0,0,534,446,0,0,0,0
75b,75,b,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/75b_silhouette_contour.svg,cm,33,28.1,10.2,FALSE,Item_75b::Final_Geom,Item_75b::Face_Curves,Item_75b::Original_Curve,AutoCAD::Item_75b::Scaled_Curve,AutoCAD::Item_75b::Curve_Bbox,Item_75b::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Silhouettes/Combined/75b_silhouette.png,532,449,0,0,531,448,0,0,0,0
75c,75,c,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/75c_silhouette_contour.svg,cm,33,28.1,10.2,FALSE,Item_75c::Final_Geom,Item_75c::Face_Curves,Item_75c::Original_Curve,AutoCAD::Item_75c::Scaled_Curve,AutoCAD::Item_75c::Curve_Bbox,Item_75c::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Silhouettes/Combined/75c_silhouette.png,536,451,0,0,535,450,0,0,0,0
75d,75,d,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/75d_silhouette_contour.svg,cm,33,28.1,10.2,FALSE,Item_75d::Final_Geom,Item_75d::Face_Curves,Item_75d::Original_Curve,AutoCAD::Item_75d::Scaled_Curve,AutoCAD::Item_75d::Curve_Bbox,Item_75d::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Silhouettes/Combined/75d_silhouette.png,534,450,0,0,533,449,0,0,0,0
