name,sort_num,sort_letter,contour_path,units,w,h,d,criss_cross,layer_final_geom,layer_derived_curves,layer_original_curves,layer_scaled_curve,layer_curve_bbox,layer_images,picture_path,img_w,img_h,min_x,min_z,max_x,max_z,left_margin,right_margin,top_margin,bottom_margin
179,179,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/179_silhouette_contour.svg,cm,47.6,35.2,3,FALSE,Item_179::Final_Geom,Item_179::Face_Curves,Item_179::Original_Curve,AutoCAD::Item_179::Scaled_Curve,AutoCAD::Item_179::Curve_Bbox,Item_179::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/179_silhouette.png,1600,1165,9,2,1588,1148,9,11,2,16
180,180,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/180_silhouette_contour.svg,cm,54.6,91.4,3,FALSE,Item_180::Final_Geom,Item_180::Face_Curves,Item_180::Original_Curve,AutoCAD::Item_180::Scaled_Curve,AutoCAD::Item_180::Curve_Bbox,Item_180::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/180_silhouette.png,986,1425,37,2,967,1424,37,18,2,0
181,181,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/181_silhouette_contour.svg,cm,57.2,82.6,3,FALSE,Item_181::Final_Geom,Item_181::Face_Curves,Item_181::Original_Curve,AutoCAD::Item_181::Scaled_Curve,AutoCAD::Item_181::Curve_Bbox,Item_181::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/181_silhouette.png,958,1389,14,3,946,1386,14,11,3,2
182,182,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/182_silhouette_contour.svg,cm,54.6,86.4,3,FALSE,Item_182::Final_Geom,Item_182::Face_Curves,Item_182::Original_Curve,AutoCAD::Item_182::Scaled_Curve,AutoCAD::Item_182::Curve_Bbox,Item_182::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/182_silhouette.png,872,1290,26,8,866,1284,26,5,8,5
183,183,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/183_silhouette_contour.svg,cm,244,80,10,FALSE,Item_183::Final_Geom,Item_183::Face_Curves,Item_183::Original_Curve,AutoCAD::Item_183::Scaled_Curve,AutoCAD::Item_183::Curve_Bbox,Item_183::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/183_silhouette.png,800,303,3,19,799,286,3,0,19,16
186,186,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/186_silhouette_contour.svg,cm,29.5,24.8,5.7,FALSE,Item_186::Final_Geom,Item_186::Face_Curves,Item_186::Original_Curve,AutoCAD::Item_186::Scaled_Curve,AutoCAD::Item_186::Curve_Bbox,Item_186::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/186_silhouette.png,800,707,37,37,761,668,37,38,37,38
187,187,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/187_silhouette_contour.svg,cm,25.2,20,7.3,FALSE,Item_187::Final_Geom,Item_187::Face_Curves,Item_187::Original_Curve,AutoCAD::Item_187::Scaled_Curve,AutoCAD::Item_187::Curve_Bbox,Item_187::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/187_silhouette.png,800,649,20,6,774,627,20,25,6,21
188,188,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/188_silhouette_contour.svg,cm,26.7,18.4,9.2,FALSE,Item_188::Final_Geom,Item_188::Face_Curves,Item_188::Original_Curve,AutoCAD::Item_188::Scaled_Curve,AutoCAD::Item_188::Curve_Bbox,Item_188::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/188_silhouette.png,800,584,12,20,776,569,12,23,20,14
190,190,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/190_silhouette_contour.svg,cm,39,39,4.1,FALSE,Item_190::Final_Geom,Item_190::Face_Curves,Item_190::Original_Curve,AutoCAD::Item_190::Scaled_Curve,AutoCAD::Item_190::Curve_Bbox,Item_190::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/190_silhouette.png,602,800,39,8,558,782,39,43,8,17
191,191,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/191_silhouette_contour.svg,cm,15.4,17.7,5,FALSE,Item_191::Final_Geom,Item_191::Face_Curves,Item_191::Original_Curve,AutoCAD::Item_191::Scaled_Curve,AutoCAD::Item_191::Curve_Bbox,Item_191::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/191_silhouette.png,615,800,47,0,572,784,47,42,0,15
