name,sort_num,sort_letter,contour_path,units,w,h,d,criss_cross,layer_final_geom,layer_derived_curves,layer_original_curves,layer_scaled_curve,layer_curve_bbox,layer_images,picture_path,img_w,img_h,min_x,min_z,max_x,max_z,left_margin,right_margin,top_margin,bottom_margin
114,114,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/114_silhouette_contour.svg,cm,15,2.9,2.9,FALSE,Item_114::Final_Geom,Item_114::Face_Curves,Item_114::Original_Curve,AutoCAD::Item_114::Scaled_Curve,AutoCAD::Item_114::Curve_Bbox,Item_114::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/114_silhouette.png,800,418,52,56,787,324,52,12,56,93
115,115,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/115_silhouette_contour.svg,cm,4.8,19.8,4.8,TRUE,Item_115::Final_Geom,Item_115::Face_Curves,Item_115::Original_Curve,AutoCAD::Item_115::Scaled_Curve,AutoCAD::Item_115::Curve_Bbox,Item_115::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/115_silhouette.png,800,337,25,17,781,265,25,18,17,71
116,116,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/116_silhouette_contour.svg,cm,18.3,34,12.5,TRUE,Item_116::Final_Geom,Item_116::Face_Curves,Item_116::Original_Curve,AutoCAD::Item_116::Scaled_Curve,AutoCAD::Item_116::Curve_Bbox,Item_116::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/116_silhouette.png,426,800,23,9,388,786,23,37,9,13
117,117,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/117_silhouette_contour.svg,cm,21.2,40.2,10.5,TRUE,Item_117::Final_Geom,Item_117::Face_Curves,Item_117::Original_Curve,AutoCAD::Item_117::Scaled_Curve,AutoCAD::Item_117::Curve_Bbox,Item_117::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/117_silhouette.png,444,800,22,21,411,773,22,32,21,26
118,118,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/118_silhouette_contour.svg,cm,23,23,23,TRUE,Item_118::Final_Geom,Item_118::Face_Curves,Item_118::Original_Curve,AutoCAD::Item_118::Scaled_Curve,AutoCAD::Item_118::Curve_Bbox,Item_118::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/118_silhouette.png,697,800,39,37,644,743,39,52,37,56
119,119,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/119_silhouette_contour.svg,cm,12.2,56,12.5,TRUE,Item_119::Final_Geom,Item_119::Face_Curves,Item_119::Original_Curve,AutoCAD::Item_119::Scaled_Curve,AutoCAD::Item_119::Curve_Bbox,Item_119::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/119_silhouette.png,247,800,23,12,197,775,23,49,12,24
120,120,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/120_silhouette_contour.svg,cm,14.5,49,12.9,TRUE,Item_120::Final_Geom,Item_120::Face_Curves,Item_120::Original_Curve,AutoCAD::Item_120::Scaled_Curve,AutoCAD::Item_120::Curve_Bbox,Item_120::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/120_silhouette.png,339,800,30,11,308,797,30,30,11,2
121,121,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/121_silhouette_contour.svg,cm,15,61,15,TRUE,Item_121::Final_Geom,Item_121::Face_Curves,Item_121::Original_Curve,AutoCAD::Item_121::Scaled_Curve,AutoCAD::Item_121::Curve_Bbox,Item_121::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/121_silhouette.png,247,800,25,5,238,786,25,8,5,13
122,122,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/122_silhouette_contour.svg,cm,29.3,34.7,20.2,TRUE,Item_122::Final_Geom,Item_122::Face_Curves,Item_122::Original_Curve,AutoCAD::Item_122::Scaled_Curve,AutoCAD::Item_122::Curve_Bbox,Item_122::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/122_silhouette.png,635,800,28,15,628,773,28,6,15,26
123,123,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/123_silhouette_contour.svg,cm,45.4,59.5,31,TRUE,Item_123::Final_Geom,Item_123::Face_Curves,Item_123::Original_Curve,AutoCAD::Item_123::Scaled_Curve,AutoCAD::Item_123::Curve_Bbox,Item_123::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/123_silhouette.png,608,800,27,15,582,781,27,25,15,18
124,124,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/124_silhouette_contour.svg,cm,40.5,69.3,28.3,TRUE,Item_124::Final_Geom,Item_124::Face_Curves,Item_124::Original_Curve,AutoCAD::Item_124::Scaled_Curve,AutoCAD::Item_124::Curve_Bbox,Item_124::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/124_silhouette.png,503,800,10,27,483,777,10,19,27,22
125,125,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/125_silhouette_contour.svg,cm,43,51,20,TRUE,Item_125::Final_Geom,Item_125::Face_Curves,Item_125::Original_Curve,AutoCAD::Item_125::Scaled_Curve,AutoCAD::Item_125::Curve_Bbox,Item_125::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/125_silhouette.png,577,800,14,13,561,787,14,15,13,12
126,126,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/126_silhouette_contour.svg,cm,47.3,89.5,5,FALSE,Item_126::Final_Geom,Item_126::Face_Curves,Item_126::Original_Curve,AutoCAD::Item_126::Scaled_Curve,AutoCAD::Item_126::Curve_Bbox,Item_126::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/126_silhouette.png,435,800,14,2,399,790,14,35,2,9
127,127,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/127_silhouette_contour.svg,cm,22.9,56.7,1.5,FALSE,Item_127::Final_Geom,Item_127::Face_Curves,Item_127::Original_Curve,AutoCAD::Item_127::Scaled_Curve,AutoCAD::Item_127::Curve_Bbox,Item_127::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/127_silhouette.png,360,800,17,4,338,799,17,21,4,0
129,129,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/129_silhouette_contour.svg,cm,1,1,1,FALSE,Item_129::Final_Geom,Item_129::Face_Curves,Item_129::Original_Curve,AutoCAD::Item_129::Scaled_Curve,AutoCAD::Item_129::Curve_Bbox,Item_129::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/129_silhouette.png,800,219,0,0,799,218,0,0,0,0
131,131,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/131_silhouette_contour.svg,cm,22.8,30.4,3,FALSE,Item_131::Final_Geom,Item_131::Face_Curves,Item_131::Original_Curve,AutoCAD::Item_131::Scaled_Curve,AutoCAD::Item_131::Curve_Bbox,Item_131::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/131_silhouette.png,800,591,6,35,774,560,6,25,35,30
132,132,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/132_silhouette_contour.svg,cm,25.5,30.5,3,FALSE,Item_132::Final_Geom,Item_132::Face_Curves,Item_132::Original_Curve,AutoCAD::Item_132::Scaled_Curve,AutoCAD::Item_132::Curve_Bbox,Item_132::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/132_silhouette.png,800,631,0,0,799,630,0,0,0,0
133,133,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/133_silhouette_contour.svg,cm,32,20.5,3,FALSE,Item_133::Final_Geom,Item_133::Face_Curves,Item_133::Original_Curve,AutoCAD::Item_133::Scaled_Curve,AutoCAD::Item_133::Curve_Bbox,Item_133::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/133_silhouette.png,800,486,143,9,680,447,143,119,9,38
