name,contour_path,units,w,h,d,criss_cross,layer_final_geom,layer_derived_curves,layer_original_curves,layer_scaled_curve,layer_curve_bbox,layer_images,picture_path,img_w,img_h,min_x,min_z,max_x,max_z,left_margin,right_margin,top_margin,bottom_margin
146,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/146_silhouette_contour.svg,,,,,,Item_146::Final_Geom,Item_146::Face_Curves,Item_146::Original_Curve,AutoCAD::Item_146::Scaled_Curve,AutoCAD::Item_146::Curve_Bbox,Item_146::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/146_silhouette.png,921,1000,51,46,853,971,51,67,46,28
147,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/147_silhouette_contour.svg,,,,,,Item_147::Final_Geom,Item_147::Face_Curves,Item_147::Original_Curve,AutoCAD::Item_147::Scaled_Curve,AutoCAD::Item_147::Curve_Bbox,Item_147::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/147_silhouette.png,1000,981,52,49,913,928,52,86,49,52
148,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/148_silhouette_contour.svg,,,,,,Item_148::Final_Geom,Item_148::Face_Curves,Item_148::Original_Curve,AutoCAD::Item_148::Scaled_Curve,AutoCAD::Item_148::Curve_Bbox,Item_148::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/148_silhouette.png,1000,792,143,91,837,665,143,162,91,126
149,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/149_silhouette_contour.svg,,,,,,Item_149::Final_Geom,Item_149::Face_Curves,Item_149::Original_Curve,AutoCAD::Item_149::Scaled_Curve,AutoCAD::Item_149::Curve_Bbox,Item_149::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/149_silhouette.png,1000,869,87,129,865,740,87,134,129,128
150,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/150_silhouette_contour.svg,,,,,,Item_150::Final_Geom,Item_150::Face_Curves,Item_150::Original_Curve,AutoCAD::Item_150::Scaled_Curve,AutoCAD::Item_150::Curve_Bbox,Item_150::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/150_silhouette.png,1000,689,68,58,926,639,68,73,58,49
151,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/151_silhouette_contour.svg,,,,,,Item_151::Final_Geom,Item_151::Face_Curves,Item_151::Original_Curve,AutoCAD::Item_151::Scaled_Curve,AutoCAD::Item_151::Curve_Bbox,Item_151::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/151_silhouette.png,1000,713,117,118,882,609,117,117,118,103
152,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/152_silhouette_contour.svg,,,,,,Item_152::Final_Geom,Item_152::Face_Curves,Item_152::Original_Curve,AutoCAD::Item_152::Scaled_Curve,AutoCAD::Item_152::Curve_Bbox,Item_152::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/152_silhouette.png,1000,991,39,29,970,973,39,29,29,17
153,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/153_silhouette_contour.svg,,,,,,Item_153::Final_Geom,Item_153::Face_Curves,Item_153::Original_Curve,AutoCAD::Item_153::Scaled_Curve,AutoCAD::Item_153::Curve_Bbox,Item_153::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/153_silhouette.png,1000,942,33,39,948,920,33,51,39,21
154,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/154_silhouette_contour.svg,,,,,,Item_154::Final_Geom,Item_154::Face_Curves,Item_154::Original_Curve,AutoCAD::Item_154::Scaled_Curve,AutoCAD::Item_154::Curve_Bbox,Item_154::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/154_silhouette.png,986,1000,35,36,955,970,35,30,36,29
155,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/155_silhouette_contour.svg,,,,,,Item_155::Final_Geom,Item_155::Face_Curves,Item_155::Original_Curve,AutoCAD::Item_155::Scaled_Curve,AutoCAD::Item_155::Curve_Bbox,Item_155::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/155_silhouette.png,1000,960,54,39,941,916,54,58,39,43
156,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/156_silhouette_contour.svg,,,,,,Item_156::Final_Geom,Item_156::Face_Curves,Item_156::Original_Curve,AutoCAD::Item_156::Scaled_Curve,AutoCAD::Item_156::Curve_Bbox,Item_156::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/156_silhouette.png,969,1000,38,27,951,965,38,17,27,34
157,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/157_silhouette_contour.svg,,,,,,Item_157::Final_Geom,Item_157::Face_Curves,Item_157::Original_Curve,AutoCAD::Item_157::Scaled_Curve,AutoCAD::Item_157::Curve_Bbox,Item_157::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/157_silhouette.png,1000,994,42,30,956,957,42,43,30,36
158,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/158_silhouette_contour.svg,,,,,,Item_158::Final_Geom,Item_158::Face_Curves,Item_158::Original_Curve,AutoCAD::Item_158::Scaled_Curve,AutoCAD::Item_158::Curve_Bbox,Item_158::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/158_silhouette.png,966,1000,49,48,938,930,49,27,48,69
159,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/159_silhouette_contour.svg,,,,,,Item_159::Final_Geom,Item_159::Face_Curves,Item_159::Original_Curve,AutoCAD::Item_159::Scaled_Curve,AutoCAD::Item_159::Curve_Bbox,Item_159::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/159_silhouette.png,983,1000,44,36,943,967,44,39,36,32
160,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/160_silhouette_contour.svg,,,,,,Item_160::Final_Geom,Item_160::Face_Curves,Item_160::Original_Curve,AutoCAD::Item_160::Scaled_Curve,AutoCAD::Item_160::Curve_Bbox,Item_160::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/160_silhouette.png,1000,800,139,43,847,760,139,152,43,39
249,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/249_silhouette_contour.svg,,,,,,Item_249::Final_Geom,Item_249::Face_Curves,Item_249::Original_Curve,AutoCAD::Item_249::Scaled_Curve,AutoCAD::Item_249::Curve_Bbox,Item_249::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/249_silhouette.png,1000,802,132,45,831,751,132,168,45,50
250,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/250_silhouette_contour.svg,,,,,,Item_250::Final_Geom,Item_250::Face_Curves,Item_250::Original_Curve,AutoCAD::Item_250::Scaled_Curve,AutoCAD::Item_250::Curve_Bbox,Item_250::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/250_silhouette.png,1000,795,124,15,870,776,124,129,15,18
