name,contour_path,units,w,h,d,criss_cross,layer_final_geom,layer_derived_curves,layer_original_curves,layer_scaled_curve,layer_curve_bbox,layer_images,picture_path,img_w,img_h,min_x,min_z,max_x,max_z,left_margin,right_margin,top_margin,bottom_margin
151,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/151_silhouette_contour.svg,cm,2.4,3.2,2.4,TRUE,Item_151::Final_Geom,Item_151::Face_Curves,Item_151::Original_Curve,AutoCAD::Item_151::Scaled_Curve,AutoCAD::Item_151::Curve_Bbox,Item_151::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/3D Silhouettes/151_silhouette.png,624,445,73,74,550,379,73,73,74,65
254,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/254_silhouette_contour.svg,cm,11.1,25.3,3,FALSE,Item_254::Final_Geom,Item_254::Face_Curves,Item_254::Original_Curve,AutoCAD::Item_254::Scaled_Curve,AutoCAD::Item_254::Curve_Bbox,Item_254::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/3D Silhouettes/254_silhouette.png,2949,3788,22,117,2924,3727,22,24,117,60
265,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/265_silhouette_contour.svg,cm,34.5,85.5,17.5,TRUE,Item_265::Final_Geom,Item_265::Face_Curves,Item_265::Original_Curve,AutoCAD::Item_265::Scaled_Curve,AutoCAD::Item_265::Curve_Bbox,Item_265::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/3D Silhouettes/265_silhouette.png,256,308,70,41,181,300,70,74,41,7
266,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/266_silhouette_contour.svg,cm,65,98,24,TRUE,Item_266::Final_Geom,Item_266::Face_Curves,Item_266::Original_Curve,AutoCAD::Item_266::Scaled_Curve,AutoCAD::Item_266::Curve_Bbox,Item_266::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/3D Silhouettes/266_silhouette.png,231,346,6,5,224,337,6,6,5,8
88,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/88_silhouette_contour.svg,cm,10.8,20.9,10.8,TRUE,Item_88::Final_Geom,Item_88::Face_Curves,Item_88::Original_Curve,AutoCAD::Item_88::Scaled_Curve,AutoCAD::Item_88::Curve_Bbox,Item_88::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/3D Silhouettes/88_silhouette.png,2000,3000,601,816,1503,2611,601,496,816,388
89,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/89_silhouette_contour.svg,cm,5.7,14.3,5.7,TRUE,Item_89::Final_Geom,Item_89::Face_Curves,Item_89::Original_Curve,AutoCAD::Item_89::Scaled_Curve,AutoCAD::Item_89::Curve_Bbox,Item_89::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/3D Silhouettes/89_silhouette.png,2000,3000,654,756,1325,2431,654,674,756,568
90,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/90_silhouette_contour.svg,cm,11.9,23.9,11.9,TRUE,Item_90::Final_Geom,Item_90::Face_Curves,Item_90::Original_Curve,AutoCAD::Item_90::Scaled_Curve,AutoCAD::Item_90::Curve_Bbox,Item_90::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/3D Silhouettes/90_silhouette.png,2000,3000,507,674,1433,2757,507,566,674,242
91,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/91_silhouette_contour.svg,cm,9.8,5.7,6.3,FALSE,Item_91::Final_Geom,Item_91::Face_Curves,Item_91::Original_Curve,AutoCAD::Item_91::Scaled_Curve,AutoCAD::Item_91::Curve_Bbox,Item_91::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/3D Silhouettes/91_silhouette.png,3000,2000,766,447,2299,1641,766,700,447,358
92,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/92_silhouette_contour.svg,cm,31.8,43.2,3.6,FALSE,Item_92::Final_Geom,Item_92::Face_Curves,Item_92::Original_Curve,AutoCAD::Item_92::Scaled_Curve,AutoCAD::Item_92::Curve_Bbox,Item_92::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/3D Silhouettes/92_silhouette.png,2000,3000,250,436,1751,2407,250,248,436,592
93,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/93_silhouette_contour.svg,cm,42.8,12,8.5,FALSE,Item_93::Final_Geom,Item_93::Face_Curves,Item_93::Original_Curve,AutoCAD::Item_93::Scaled_Curve,AutoCAD::Item_93::Curve_Bbox,Item_93::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/3D Silhouettes/93_silhouette.png,3000,2000,260,608,2791,1343,260,208,608,656
94,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/94_silhouette_contour.svg,cm,7.7,1.8,1.8,FALSE,Item_94::Final_Geom,Item_94::Face_Curves,Item_94::Original_Curve,AutoCAD::Item_94::Scaled_Curve,AutoCAD::Item_94::Curve_Bbox,Item_94::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/3D Silhouettes/94_silhouette.png,3000,2000,794,998,2195,1398,794,804,998,601
95,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/95_silhouette_contour.svg,cm,7.3,8.1,1.3,FALSE,Item_95::Final_Geom,Item_95::Face_Curves,Item_95::Original_Curve,AutoCAD::Item_95::Scaled_Curve,AutoCAD::Item_95::Curve_Bbox,Item_95::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/3D Silhouettes/95_silhouette.png,2000,3000,408,714,1667,2112,408,332,714,887
96,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/96_silhouette_contour.svg,cm,16.1,23.3,1.8,FALSE,Item_96::Final_Geom,Item_96::Face_Curves,Item_96::Original_Curve,AutoCAD::Item_96::Scaled_Curve,AutoCAD::Item_96::Curve_Bbox,Item_96::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/3D Silhouettes/96_silhouette.png,2000,3000,370,448,1707,2493,370,292,448,506
97,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/97_silhouette_contour.svg,cm,27.7,20.2,10.9,TRUE,Item_97::Final_Geom,Item_97::Face_Curves,Item_97::Original_Curve,AutoCAD::Item_97::Scaled_Curve,AutoCAD::Item_97::Curve_Bbox,Item_97::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/3D Silhouettes/97_silhouette.png,3000,2000,712,259,2393,1731,712,606,259,268
98,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/98_silhouette_contour.svg,cm,33.9,19.5,16.1,TRUE,Item_98::Final_Geom,Item_98::Face_Curves,Item_98::Original_Curve,AutoCAD::Item_98::Scaled_Curve,AutoCAD::Item_98::Curve_Bbox,Item_98::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/3D Silhouettes/98_silhouette.png,3000,2000,666,546,2434,1766,666,565,546,233
99,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/99_silhouette_contour.svg,cm,24.1,5.4,4.6,TRUE,Item_99::Final_Geom,Item_99::Face_Curves,Item_99::Original_Curve,AutoCAD::Item_99::Scaled_Curve,AutoCAD::Item_99::Curve_Bbox,Item_99::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/3D Silhouettes/99_silhouette.png,5069,2975,365,353,4669,2595,365,399,353,379
