name,contour_path,units,w,h,d,layer_final_geom,layer_derived_curves,layer_original_curves,layer_scaled_curve,layer_curve_bbox,layer_images,picture_path,img_w,img_h,min_x,min_z,max_x,max_z,left_margin,right_margin,top_margin,bottom_margin
286,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/286_silhouette_contour.svg,,,,,Item_286::Final_Geom,Item_286::Face_Curves,Item_286::Original_Curve,AutoCAD::Item_286::Scaled_Curve,AutoCAD::Item_286::Curve_Bbox,Item_286::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/286_silhouette.png,269,147,9,13,267,140,9,1,13,6
49,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/49_silhouette_contour.svg,,,,,Item_49::Final_Geom,Item_49::Face_Curves,Item_49::Original_Curve,AutoCAD::Item_49::Scaled_Curve,AutoCAD::Item_49::Curve_Bbox,Item_49::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/49_silhouette.png,469,404,12,19,415,361,12,53,19,42
50,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/50_silhouette_contour.svg,,,,,Item_50::Final_Geom,Item_50::Face_Curves,Item_50::Original_Curve,AutoCAD::Item_50::Scaled_Curve,AutoCAD::Item_50::Curve_Bbox,Item_50::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/50_silhouette.png,790,789,68,202,655,717,68,134,202,71
51,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/51_silhouette_contour.svg,,,,,Item_51::Final_Geom,Item_51::Face_Curves,Item_51::Original_Curve,AutoCAD::Item_51::Scaled_Curve,AutoCAD::Item_51::Curve_Bbox,Item_51::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/51_silhouette.png,789,816,110,171,610,753,110,178,171,62
52,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/52_silhouette_contour.svg,,,,,Item_52::Final_Geom,Item_52::Face_Curves,Item_52::Original_Curve,AutoCAD::Item_52::Scaled_Curve,AutoCAD::Item_52::Curve_Bbox,Item_52::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/52_silhouette.png,321,346,16,18,307,333,16,13,18,12
53,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/53_silhouette_contour.svg,,,,,Item_53::Final_Geom,Item_53::Face_Curves,Item_53::Original_Curve,AutoCAD::Item_53::Scaled_Curve,AutoCAD::Item_53::Curve_Bbox,Item_53::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/53_silhouette.png,450,369,20,32,391,358,20,58,32,10
54,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/54_silhouette_contour.svg,,,,,Item_54::Final_Geom,Item_54::Face_Curves,Item_54::Original_Curve,AutoCAD::Item_54::Scaled_Curve,AutoCAD::Item_54::Curve_Bbox,Item_54::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/54_silhouette.png,461,320,47,41,389,302,47,71,41,17
55,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/55_silhouette_contour.svg,,,,,Item_55::Final_Geom,Item_55::Face_Curves,Item_55::Original_Curve,AutoCAD::Item_55::Scaled_Curve,AutoCAD::Item_55::Curve_Bbox,Item_55::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/55_silhouette.png,4000,3211,560,687,3411,2674,560,588,687,536
56,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/56_silhouette_contour.svg,,,,,Item_56::Final_Geom,Item_56::Face_Curves,Item_56::Original_Curve,AutoCAD::Item_56::Scaled_Curve,AutoCAD::Item_56::Curve_Bbox,Item_56::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/56_silhouette.png,4000,3403,1184,919,2569,2303,1184,1430,919,1099
57,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/57_silhouette_contour.svg,,,,,Item_57::Final_Geom,Item_57::Face_Curves,Item_57::Original_Curve,AutoCAD::Item_57::Scaled_Curve,AutoCAD::Item_57::Curve_Bbox,Item_57::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/57_silhouette.png,3516,2965,477,678,2841,2486,477,674,678,478
