name,contour_path,units,w,h,d,criss_cross,layer_final_geom,layer_derived_curves,layer_original_curves,layer_scaled_curve,layer_curve_bbox,layer_images,picture_path,img_w,img_h,min_x,min_z,max_x,max_z,left_margin,right_margin,top_margin,bottom_margin
206,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/206_silhouette_contour.svg,cm,11.7,6.5,6.4,TRUE,Item_206::Final_Geom,Item_206::Face_Curves,Item_206::Original_Curve,AutoCAD::Item_206::Scaled_Curve,AutoCAD::Item_206::Curve_Bbox,Item_206::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/3D Silhouettes/206_silhouette.png,2000,3000,315,1279,1722,2418,315,277,1279,581
208,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/208_silhouette_contour.svg,,,,,,Item_208::Final_Geom,Item_208::Face_Curves,Item_208::Original_Curve,AutoCAD::Item_208::Scaled_Curve,AutoCAD::Item_208::Curve_Bbox,Item_208::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/208_silhouette.png,9004,7203,3326,1248,5802,6506,3326,3201,1248,696
209,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/209_silhouette_contour.svg,cm,8.4,19.7,8.4,TRUE,Item_209::Final_Geom,Item_209::Face_Curves,Item_209::Original_Curve,AutoCAD::Item_209::Scaled_Curve,AutoCAD::Item_209::Curve_Bbox,Item_209::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/3D Silhouettes/209_silhouette.png,2000,3000,148,846,1357,2607,148,642,846,392
210,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/210_silhouette_contour.svg,cm,9.5,9.5,9.5,TRUE,Item_210::Final_Geom,Item_210::Face_Curves,Item_210::Original_Curve,AutoCAD::Item_210::Scaled_Curve,AutoCAD::Item_210::Curve_Bbox,Item_210::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/3D Silhouettes/210_silhouette.png,1452,1328,362,170,1092,980,362,359,170,347
211,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/211_silhouette_contour.svg,cm,7,17.8,7,TRUE,Item_211::Final_Geom,Item_211::Face_Curves,Item_211::Original_Curve,AutoCAD::Item_211::Scaled_Curve,AutoCAD::Item_211::Curve_Bbox,Item_211::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/3D Silhouettes/211_silhouette.png,1945,2722,560,359,1312,2458,560,632,359,263
212,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/212_silhouette_contour.svg,cm,12.5,19.3,12.5,TRUE,Item_212::Final_Geom,Item_212::Face_Curves,Item_212::Original_Curve,AutoCAD::Item_212::Scaled_Curve,AutoCAD::Item_212::Curve_Bbox,Item_212::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/3D Silhouettes/212_silhouette.png,2000,3000,512,949,1442,2673,512,557,949,326
213,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/213_silhouette_contour.svg,cm,13.4,18.5,13.4,TRUE,Item_213::Final_Geom,Item_213::Face_Curves,Item_213::Original_Curve,AutoCAD::Item_213::Scaled_Curve,AutoCAD::Item_213::Curve_Bbox,Item_213::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/3D Silhouettes/213_silhouette.png,2000,3000,513,965,1517,2684,513,482,965,315
214,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/214_silhouette_contour.svg,cm,14.1,36.9,14.1,TRUE,Item_214::Final_Geom,Item_214::Face_Curves,Item_214::Original_Curve,AutoCAD::Item_214::Scaled_Curve,AutoCAD::Item_214::Curve_Bbox,Item_214::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/3D Silhouettes/214_silhouette.png,2000,3000,618,407,1445,2767,618,554,407,232
215,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/215_silhouette_contour.svg,cm,7,20.9,7,TRUE,Item_215::Final_Geom,Item_215::Face_Curves,Item_215::Original_Curve,AutoCAD::Item_215::Scaled_Curve,AutoCAD::Item_215::Curve_Bbox,Item_215::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/3D Silhouettes/215_silhouette.png,2000,3000,684,536,1369,2679,684,630,536,320
216,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/216_silhouette_contour.svg,cm,14.5,19.4,9.3,TRUE,Item_216::Final_Geom,Item_216::Face_Curves,Item_216::Original_Curve,AutoCAD::Item_216::Scaled_Curve,AutoCAD::Item_216::Curve_Bbox,Item_216::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/3D Silhouettes/216_silhouette.png,590,800,83,151,506,677,83,83,151,122
